OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue May  3 2016 10:55:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,Sun+Sky,1,0.189999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/sun+sky.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,plant c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
6,11:46:17,3079.999995,0,6.199821831,0.046698483,169.069735,0.780773253,1.626954185,26.11544228,6,1.420000017,1,2.840000033,26.33387947,26.11544228,26.16014099,399.8987122,392.0925293,17.0870285,18.00697136,48.81519699,51.44334412,500.0618591,264.5570679,331.156311,98.3187561,-11.53369713,1.041124582,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833436432,0.000780773,299.2654423,299.4838795,50.26584226,0.217173984,3.397377211,34.55472125,16.54774989,26.22466087,3.419376841,0.045943036,1.770423025,1.648953816,0.028781327,16.62272604,0.431198562,51.61455302,389.1454309,0.008223173
7,11:56:17,3680.499982,0,6.093666552,0.046591246,172.5728753,0.780900506,1.63085191,26.14234734,6,1.420000017,1,2.840000033,26.34017754,26.14234734,26.16042519,400.1389771,392.4590149,17.10209084,18.02225876,48.84026337,51.46809006,500.0132446,264.3482971,330.7973022,98.31915283,-11.53369713,1.041124582,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833355408,0.000780901,299.2923473,299.4901775,50.22617582,0.21381658,3.402785123,34.60958547,16.58732671,26.24126244,3.422731721,0.045839236,1.771933213,1.650798508,0.02871615,16.9672189,0.439722031,51.57217295,389.5623777,0.008067094
Remark=,"""11:56:35 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,12:06:17,4280.999988,0,6.165486436,0.047539461,174.2932548,0.791392298,1.619957154,26.1113987,6,1.420000017,1,2.840000033,26.33512878,26.1113987,26.16000175,400.2008667,392.4302063,17.14155769,18.07399178,48.95622253,51.61925125,500.0387878,264.5668335,331.1560364,98.29637909,-11.51389122,1.048101664,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.83339798,0.000791392,299.2613987,299.4851288,50.26769773,0.212381044,3.396565101,34.55432573,16.48033395,26.22326374,3.419094636,0.046756788,1.776607947,1.642486689,0.029292317,17.13239585,0.444138224,51.82351144,389.4994293,0.008203277
Remark=,"""12:11:35 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12:16:17,4880.499995,0,6.293795905,0.046965167,167.5676179,0.78107627,1.617760184,26.11111832,6,1.420000017,1,2.840000033,26.33863068,26.11111832,26.15875435,400.4976807,392.5776367,17.17867279,18.09894562,49.04347229,51.67076492,500.0297241,264.5951843,331.0380249,98.27912903,-11.62967491,1.049488306,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833382874,0.000781076,299.2611183,299.4886307,50.27308439,0.218344152,3.396508796,34.55981783,16.46087222,26.2248745,3.419419992,0.046201137,1.778748612,1.64067138,0.028943396,16.46839954,0.426839438,51.87772724,389.5858676,0.008380895
10,12:26:17,5480.999982,0,6.193172438,0.046952429,169.6628751,0.77732715,1.610542316,26.06433105,6,1.420000017,1,2.840000033,26.3361454,26.06433105,26.16049385,399.025116,391.2293396,17.16086197,18.07667923,49.00041962,51.61540985,500.0619812,264.5074463,330.8742065,98.2803421,-11.62967491,1.049488306,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833436635,0.000777327,299.2143311,299.4861454,50.25641416,0.226167304,3.387124535,34.46390664,16.38722741,26.20023823,3.414446679,0.04618881,1.776582219,1.63786446,0.028935655,16.6745254,0.433666031,51.96240371,388.285402,0.008288031
Remark=,"""12:26:36 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12:36:18,6081.499988,0,6.341378267,0.048196601,170.2753044,0.796596692,1.60837482,26.10710335,6,1.420000017,1,2.840000033,26.34086418,26.10710335,26.16132736,399.3681946,391.3858337,17.24783325,18.18619728,49.23454285,51.91313553,500.0892639,264.7335815,331.178009,98.27935791,-11.69556236,1.062950373,1,-0.219565243,2.737391472,1,0,0.189999998,111115,0.833482107,0.000796597,299.2571033,299.4908642,50.29937986,0.211414241,3.395702612,34.55153436,16.36533708,26.22398376,3.41924007,0.047392323,1.787327792,1.631912279,0.029691426,16.73454759,0.435057403,52.16401166,388.3714462,0.008517406
Remark=,"""12:41:36 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
